,area,fat_per_capita_alcoholic_beverages,fat_per_capita_animal_fats,fat_per_capita_aquatic_products_other,fat_per_capita_cereals_excluding_beer,fat_per_capita_eggs,fat_per_capita_fish_seafood,fat_per_capita_fruits_excluding_wine,fat_per_capita_meat,fat_per_capita_milk_excluding_butter,fat_per_capita_miscellaneous,fat_per_capita_offals,fat_per_capita_oilcrops,fat_per_capita_pulses,fat_per_capita_spices,fat_per_capita_starchy_roots,fat_per_capita_stimulants,fat_per_capita_sugar_sweeteners,fat_per_capita_sugar_crops,fat_per_capita_treenuts,fat_per_capita_vegetable_oils,fat_per_capita_vegetables,calorie_per_capita_alcoholic_beverages,calorie_per_capita_animal_fats,calorie_per_capita_aquatic_products_other,calorie_per_capita_cereals_excluding_beer,calorie_per_capita_eggs,calorie_per_capita_fish_seafood,calorie_per_capita_fruits_excluding_wine,calorie_per_capita_meat,calorie_per_capita_milk_excluding_butter,calorie_per_capita_miscellaneous,calorie_per_capita_offals,calorie_per_capita_oilcrops,calorie_per_capita_pulses,calorie_per_capita_spices,calorie_per_capita_starchy_roots,calorie_per_capita_stimulants,calorie_per_capita_sugar_sweeteners,calorie_per_capita_sugar_crops,calorie_per_capita_treenuts,calorie_per_capita_vegetable_oils,calorie_per_capita_vegetables,protein_per_capita_alcoholic_beverages,protein_per_capita_animal_fats,protein_per_capita_aquatic_products_other,protein_per_capita_cereals_excluding_beer,protein_per_capita_eggs,protein_per_capita_fish_seafood,protein_per_capita_fruits_excluding_wine,protein_per_capita_meat,protein_per_capita_milk_excluding_butter,protein_per_capita_miscellaneous,protein_per_capita_offals,protein_per_capita_oilcrops,protein_per_capita_pulses,protein_per_capita_spices,protein_per_capita_starchy_roots,protein_per_capita_stimulants,protein_per_capita_sugar_sweeteners,protein_per_capita_sugar_crops,protein_per_capita_treenuts,protein_per_capita_vegetable_oils,protein_per_capita_vegetables,infection_level,undernourishment,median_age,aged_70_older,diabetes_prevalence,life_expectancy
110,Namibia,0.0,4.88,0.0,9.48,0.26,0.85,0.28,9.92,5.26,0.1,0.28,0.38,0.67,0.53,0.63,0.94,0.0,0.0,0.15,23.15,0.15,22.290856,5.702311999999999,0.0,142.428202,0.518392,2.980754,5.313517999999999,18.662112,12.9598,1.166382,1.036784,0.518392,10.238242,1.684774,38.620204,1.555176,35.250656,0.0,0.259196,26.56759,2.721558,0.92,0.07,0.0,29.35,0.3,3.66,0.43,12.7,5.3,0.28,1.34,0.2,5.38,0.43,5.33,0.35,0.0,0.0,0.04,0.02,1.01,Moderate,18.0,22.0,2.085,3.94,63.71
111,Nepal,0.0,7.97,0.0,8.15,0.66,0.24,0.4,3.48,5.45,0.01,0.27,0.59,0.75,1.69,0.26,0.13,0.0,0.24,0.61,29.97,0.78,2.462362,9.201458,0.0,220.834992,1.166382,0.907186,8.164674,6.739096,13.866986,0.129598,1.036784,0.907186,16.588544,8.294272,22.161258,0.259196,10.886232,4.53593,1.036784,34.34347,12.052613999999998,0.05,0.05,0.0,39.96,0.72,1.04,0.68,4.84,6.09,0.03,1.27,0.28,8.46,2.05,3.98,0.11,0.0,0.12,0.2,0.01,5.51,Moderate,5.5,25.0,3.212,7.26,70.78
112,Netherlands,0.0,19.94,0.0,3.59,5.96,1.57,1.18,22.62,27.89,0.0,0.08,5.6,0.13,0.54,0.25,0.27,0.0,0.0,4.16,45.95,0.66,16.070152,23.068444,0.0,105.103978,11.01583,5.702311999999999,24.62362,40.045782,68.68693999999999,0.0,0.64799,8.294272,3.499146,2.332764,22.290856,1.166382,55.85673799999999,0.0,6.091106,52.616788,9.07186,0.68,0.34,0.0,24.56,6.86,6.75,2.16,24.52,32.05,0.0,0.36,2.31,1.76,0.58,4.04,0.74,0.01,0.0,1.35,0.07,3.46,High,2.5,43.2,11.881,5.29,82.28
113,New Caledonia,0.0,8.71,0.0,11.5,2.44,2.01,0.53,31.66,13.96,0.52,0.22,6.07,0.06,0.16,0.07,4.01,0.0,0.0,0.98,34.95,0.41,12.31181,10.36784,0.0,133.35634199999998,4.53593,5.961507999999999,11.01583,53.394376,29.677942,6.220704,1.166382,9.71985,1.4255779999999998,0.64799,8.423869999999999,6.220704,34.213871999999995,0.0,1.4255779999999998,40.045782,6.868694,0.61,0.37,0.0,27.39,2.74,6.28,0.97,29.46,13.39,1.58,1.41,1.41,0.71,0.15,1.22,0.82,0.01,0.0,0.3,0.05,2.73,Low,6.8,33.4,6.489,23.36,77.55
114,New Zealand,0.0,33.99,0.0,3.26,3.32,1.54,0.98,26.49,9.37,0.0,1.64,5.57,0.19,0.37,0.15,4.08,0.0,0.0,3.51,27.4,0.58,10.627036,39.008998,0.0,123.895688,6.091106,5.702311999999999,13.218996,46.396084,17.754925999999998,0.0,5.313517999999999,8.812664,4.406332,1.4255779999999998,11.66382,7.12789,70.760508,0.0,5.18392,31.233118,8.035076,0.53,0.36,0.0,26.43,3.61,6.97,1.12,27.69,7.42,0.0,5.8,2.95,2.22,0.36,2.22,1.67,0.01,0.01,1.11,0.03,2.86,Low,2.5,37.9,9.72,8.08,82.29
115,Nicaragua,0.0,3.49,0.0,10.97,1.16,0.45,0.18,9.47,11.39,0.18,0.14,2.55,0.58,0.01,0.13,0.51,0.01,0.0,0.06,25.63,0.24,5.313517999999999,4.017538,0.0,168.736596,2.332764,1.4255779999999998,9.331056,16.329348,26.437992,2.462362,0.777588,4.017538,15.810956,0.0,6.220704,0.777588,48.988044,0.0,0.129598,29.418746,3.499146,0.09,0.05,0.0,30.81,1.34,1.57,0.61,9.45,11.18,0.69,1.01,1.4,7.95,0.01,0.78,0.1,0.01,0.0,0.02,0.01,1.11,Low,18.6,27.3,3.519,11.47,74.48
116,Niger,0.0,2.49,0.0,11.46,0.05,0.13,0.22,2.17,4.65,0.02,0.09,17.72,1.7,0.36,0.09,0.01,0.0,0.0,0.0,12.75,0.55,0.259196,2.851156,0.0,194.267402,0.129598,0.518392,5.572714,4.406332,11.404623999999998,0.259196,0.388794,27.733972,47.30327,0.907186,10.36784,0.129598,7.12789,0.0,0.0,14.644574,12.700603999999998,0.01,0.03,0.0,35.21,0.07,0.54,0.43,3.32,5.96,0.07,0.42,8.43,24.21,0.26,0.8,0.11,0.0,0.0,0.01,0.0,3.84,Low,19.8,15.1,1.378,2.42,62.42
117,Nigeria,0.0,0.83,0.0,8.87,0.65,0.58,0.32,2.44,0.33,0.01,0.07,9.67,0.44,0.66,1.38,0.05,0.0,0.0,0.07,29.66,0.47,2.203166,0.907186,0.0,140.225036,1.166382,2.073568,8.553467999999999,4.276733999999999,1.166382,0.129598,0.259196,15.422161999999998,13.089398,4.147136,87.349052,0.129598,12.700603999999998,0.388794,1.036784,33.954676,6.091106,0.18,0.02,0.0,28.0,0.8,2.57,0.74,2.65,0.56,0.03,0.26,5.17,6.71,0.87,7.65,0.03,0.0,0.03,0.2,0.0,2.45,Low,12.7,18.1,1.447,2.42,54.69
118,North Korea,0.0,0.74,0.0,7.36,1.23,0.42,0.49,6.18,0.29,0.0,0.06,0.96,0.49,0.01,0.17,0.01,0.0,0.0,0.11,20.85,0.76,7.905478,0.907186,0.0,170.42137,2.332764,2.073568,8.812664,10.108644,0.64799,0.0,0.259196,3.628744,12.700603999999998,0.0,9.07186,0.0,5.83191,0.0,0.388794,23.846032,10.238242,0.02,0.04,0.0,28.2,1.39,2.89,0.64,5.27,0.26,0.01,0.27,2.56,6.38,0.01,1.05,0.0,0.0,0.0,0.09,0.0,4.69,Low,41.6,35.3,6.139,4.0,72.27
119,North Macedonia,0.0,10.44,0.0,4.41,1.4,0.49,0.98,16.98,12.35,0.09,0.28,4.79,0.27,1.01,0.15,3.73,0.0,0.0,2.97,49.68,1.64,9.460654,12.052613999999998,0.0,128.561216,2.59196,1.4255779999999998,23.846032,27.993168,32.788294,1.036784,1.4255779999999998,7.12789,5.961507999999999,2.59196,13.478192,6.350301999999999,48.469652,0.0,4.276733999999999,56.893522,23.068444,0.45,0.1,0.0,28.37,1.52,1.59,2.12,14.67,17.41,0.27,1.43,2.21,2.97,0.75,2.44,1.4,0.01,0.0,0.81,0.04,7.62,High,3.3,39.1,8.16,10.08,75.8
